City,Country,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind_Speed,Weather_Description
Codrington,AU,-38.2667,141.9667,57.9,51,100,18.19,overcast clouds
Imeni Poliny Osipenko,RU,52.4201,136.4853,41.14,86,80,11.03,broken clouds
Kawalu,ID,-7.3817,108.2082,72.75,87,89,1.14,overcast clouds
Bambanglipuro,ID,-7.95,110.2833,77.05,84,79,4.36,broken clouds
Dauriya,RU,49.9333,116.8667,54.75,35,100,10.54,overcast clouds
Andenes,NO,69.3143,16.1194,44.92,81,75,25.32,light intensity drizzle
Rio Grande,BR,-32.035,-52.0986,78.91,81,99,10.27,overcast clouds
Arraial Do Cabo,BR,-22.9661,-42.0278,76.96,69,0,14.97,clear sky
Cabo San Lucas,MX,22.8909,-109.9124,90.7,27,40,10.36,scattered clouds
Chimore,BO,-16.9833,-65.1333,81.09,80,67,2.68,broken clouds
Morondava,MG,-20.2833,44.2833,70.93,71,0,10.76,clear sky
Serpneve,UA,46.3009,29.0196,63.61,76,53,2.17,broken clouds
Hami,CN,42.8,93.45,68.02,19,3,12.06,clear sky
Quatre Cocos,MU,-20.2078,57.7625,73.09,79,6,5.3,clear sky
Stavern,NO,59.0,10.0333,63.32,54,10,13.2,clear sky
Placido De Castro,BR,-10.3353,-67.1856,78.85,91,85,4.36,overcast clouds
Zheleznogorsk-Ilimskiy,RU,56.5768,104.1217,34.54,98,100,5.44,overcast clouds
Ambatondrazaka,MG,-17.8333,48.4167,60.73,97,32,3.94,scattered clouds
Chapais,CA,49.7834,-74.8492,38.98,54,100,11.86,overcast clouds
Chaihe,CN,44.7667,129.7,52.75,63,60,6.35,broken clouds
Mizan Teferi,ET,6.9833,35.5833,62.92,95,98,2.95,light rain
Inhambane,MZ,-23.865,35.3833,66.18,94,20,0.0,few clouds
College,US,64.8569,-147.8028,65.59,43,75,3.44,broken clouds
Airai,TL,-8.9266,125.4092,57.58,96,45,3.06,scattered clouds
Flin Flon,CA,54.7682,-101.865,62.44,31,75,11.5,broken clouds
Kahului,US,20.8947,-156.47,80.96,66,20,16.11,few clouds
Gizo,SB,-8.103,156.8419,82.26,78,100,8.79,light rain
Dasoguz,TM,41.8363,59.9666,73.35,33,0,6.91,clear sky
Paramirim,BR,-13.4425,-42.2389,80.31,41,24,10.42,few clouds
Geraldton,AU,-28.7667,114.6,55.81,71,0,9.22,clear sky
Khatanga,RU,71.9667,102.5,15.13,95,58,6.11,broken clouds
Ust-Ilimsk,RU,58.0006,102.6619,35.83,99,100,3.62,overcast clouds
Jiayuguan,CN,39.8167,98.3,51.75,27,44,4.99,scattered clouds
Faanui,PF,-16.4833,-151.75,80.29,71,5,2.53,clear sky
Cayenne,GF,4.9333,-52.3333,87.84,66,20,9.22,few clouds
Aswan,EG,24.0934,32.907,96.1,11,7,2.3,clear sky
Mata,PT,40.683,-7.4592,63.93,57,98,2.17,overcast clouds
Namibe,AO,-15.1961,12.1522,69.51,76,2,10.45,clear sky
Labuhan,ID,-6.8844,112.2051,75.99,89,60,7.81,broken clouds
Skibotn,NO,69.3913,20.2679,44.74,67,67,10.36,broken clouds
Bathsheba,BB,13.2167,-59.5167,86.61,74,40,8.05,scattered clouds
Collie,AU,-33.3667,116.15,46.67,87,44,2.71,scattered clouds
Ciudad Del Maiz,MX,22.4,-99.6,85.17,40,54,6.02,broken clouds
Hit,IQ,33.6416,42.8251,81.21,39,32,19.6,scattered clouds
Malakal,SS,9.5334,31.6605,92.89,31,66,5.77,broken clouds
Manati,PR,18.4275,-66.4921,86.58,77,25,5.99,scattered clouds
West Plains,US,36.7281,-91.8524,84.96,53,20,4.61,few clouds
Chernyshevskiy,RU,63.0128,112.4714,36.39,93,83,10.63,broken clouds
Victoria,HK,22.2855,114.1577,79.2,90,81,11.99,broken clouds
Norman Wells,CA,65.282,-126.8329,64.44,42,75,20.71,broken clouds
Grand Gaube,MU,-20.0064,57.6608,73.38,72,6,1.99,clear sky
Chumikan,RU,54.7183,135.315,33.33,98,95,4.54,overcast clouds
Sitka,US,57.0531,-135.33,51.69,82,100,3.44,light rain
Longyearbyen,SJ,78.2186,15.6401,37.24,70,75,27.63,broken clouds
Saint George,US,37.1041,-113.5841,90.25,15,0,7.0,clear sky
Calabozo,VE,8.9242,-67.4293,87.08,63,85,4.88,overcast clouds
Maracacume,BR,-2.0428,-45.9592,78.55,93,70,4.47,broken clouds
Constitucion,CL,-35.3333,-72.4167,58.05,74,100,6.42,overcast clouds
Whitehorse,CA,60.7161,-135.0538,57.81,47,75,10.36,broken clouds
Auburn,US,47.3073,-122.2284,69.67,60,75,9.22,broken clouds
Benghazi,LY,32.1167,20.0667,76.62,50,0,15.52,clear sky
Utena,LT,55.5,25.6,57.47,67,17,1.95,few clouds
Holetown,BB,13.1867,-59.6381,86.56,73,14,10.56,light rain
Iqaluit,CA,63.7506,-68.5145,29.93,86,100,3.44,light snow
Makakilo City,US,21.3469,-158.0858,80.92,62,0,17.27,clear sky
Sorland,NO,67.667,12.6934,44.46,81,100,36.93,overcast clouds
Ixtapa,MX,20.7,-105.2,83.43,74,40,11.5,scattered clouds
Mugango,TZ,-1.6833,33.7,70.72,80,39,4.5,scattered clouds
Veraval,IN,20.9,70.3667,83.39,80,63,15.39,broken clouds
Cuamba,MZ,-14.8031,36.5372,65.26,67,0,1.14,clear sky
Porbandar,IN,21.6422,69.6093,82.53,87,35,16.51,scattered clouds
Vila,PT,42.0304,-8.1588,61.7,68,95,3.31,overcast clouds
Carnarvon,AU,-24.8667,113.6333,66.78,76,100,18.21,overcast clouds
Erzin,TR,36.9559,36.2,67.48,51,58,2.64,broken clouds
Raudeberg,NO,61.9875,5.1352,47.07,61,77,28.77,broken clouds
Yashkul,RU,46.1711,45.3435,74.03,58,72,10.33,broken clouds
Albanel,CA,48.8832,-72.4487,51.94,57,100,16.11,overcast clouds
Homer,US,59.6425,-151.5483,51.76,85,100,0.0,light rain
Gorontalo,ID,0.5412,123.0595,75.61,90,92,1.48,light rain
Kudymkar,RU,59.0173,54.656,61.03,61,39,6.17,scattered clouds
Swan Hill,AU,-35.3378,143.5544,53.37,41,100,11.59,overcast clouds
San Carlos De Bariloche,AR,-41.1456,-71.3082,35.35,93,75,16.11,light snow
Asau,RO,46.4333,26.4,63.28,90,100,5.5,overcast clouds
Marshall,US,34.3834,-86.3333,82.38,53,40,4.61,scattered clouds
Yurino,RU,56.2942,46.3039,61.97,83,72,7.34,broken clouds
Luderitz,NA,-26.6481,15.1594,54.5,84,66,2.59,broken clouds
Huancavelica,PE,-12.7667,-74.9833,47.75,56,93,6.29,overcast clouds
Porto Novo,BJ,6.4965,2.6036,81.75,80,100,9.8,overcast clouds
Gasa,PS,31.5,34.4667,69.66,77,0,6.62,clear sky
Ipu,BR,-4.3222,-40.7108,77.94,86,97,2.44,overcast clouds
Shagonar,RU,51.5333,92.8,40.84,79,33,3.2,scattered clouds
Kirakira,SB,-10.4544,161.9205,79.39,88,40,7.67,scattered clouds
Shirokiy,RU,49.758,129.523,57.56,60,100,7.4,overcast clouds
Isla Vista,US,34.4133,-119.861,69.01,65,100,11.5,overcast clouds
Ravar,IR,31.2656,56.8055,83.95,19,71,4.45,broken clouds
Maumere,ID,-8.6199,122.2111,78.33,83,60,7.29,broken clouds
Araouane,ML,18.9048,-3.5265,93.29,15,71,23.51,broken clouds
Lao Cai,VN,22.4833,103.95,76.55,98,100,1.1,overcast clouds
Korla,CN,41.7597,86.1469,67.71,22,100,6.24,overcast clouds
Baoding,CN,38.8511,115.4903,66.4,55,100,13.24,overcast clouds
Sudislavl,RU,57.8817,41.7083,58.71,93,62,3.15,broken clouds
Sa Kaeo,TH,13.75,102.3333,76.82,91,96,4.45,overcast clouds
Cockburn Town,TC,21.4612,-71.1419,82.33,70,73,1.66,broken clouds
Kaitangata,NZ,-46.2817,169.8464,50.79,79,71,6.06,broken clouds
Ribeira Grande,PT,38.5167,-28.7,64.8,72,40,16.11,scattered clouds
Babynino,RU,54.39,35.73,58.75,91,75,4.16,broken clouds
Adrar,MR,20.5022,-10.0711,76.23,44,100,9.13,overcast clouds
Yokadouma,CM,3.5167,15.05,77.7,63,96,2.24,overcast clouds
Itaituba,BR,-4.2761,-55.9836,93.36,59,20,5.75,few clouds
Savannah Bight,HN,16.45,-85.85,83.16,67,38,4.41,scattered clouds
Teghra,IN,25.4833,85.95,85.87,49,52,4.99,broken clouds
Severo-Kurilsk,RU,50.6789,156.125,37.58,88,38,16.06,scattered clouds
Sola,VU,-13.8833,167.55,79.59,74,95,24.2,overcast clouds
Hobyo,SO,5.3505,48.5268,77.65,87,100,19.1,moderate rain
Rundu,NA,-17.9333,19.7667,65.19,25,31,6.2,scattered clouds
Saint-Pierre,RE,-21.3393,55.4781,71.56,78,100,8.05,light rain
Dromolaxia,CY,34.8761,33.586,69.73,64,0,3.44,clear sky
Waipawa,NZ,-41.4122,175.5153,42.3,87,0,4.07,clear sky
Morehead,US,37.2711,-87.1764,85.86,40,0,4.61,clear sky
Beloha,MG,-25.1667,45.05,60.6,73,7,5.99,clear sky
Tutoia,BR,-2.7619,-42.2744,79.88,87,94,9.17,overcast clouds
Nerja,ES,36.7585,-3.8873,69.98,82,23,3.53,few clouds
Kalmunai,LK,7.4167,81.8167,80.04,82,3,5.91,clear sky
Putol,PH,13.9922,120.7275,77.9,86,74,2.59,broken clouds
Dzaoudzi,YT,-12.7887,45.2699,78.69,73,20,8.05,few clouds
Saint-Augustin,CA,51.226,-58.6502,50.5,61,100,23.42,overcast clouds
Mikhaylovka,RU,50.06,43.2379,64.71,95,57,6.26,broken clouds
Chuguyevka,RU,44.1653,133.8633,51.6,58,97,5.21,overcast clouds
Aquiraz,BR,-3.9014,-38.3911,84.29,78,96,7.92,overcast clouds
Fitii,PF,-16.7333,-151.0333,80.42,68,42,4.85,scattered clouds
Antsohihy,MG,-14.8796,47.9875,70.45,87,30,3.0,scattered clouds
Verkhoshizhemye,RU,58.011,49.1038,65.21,50,83,9.69,broken clouds
Tasiilaq,GL,65.6145,-37.6368,39.36,71,2,3.71,clear sky
Dingle,PH,10.9995,122.6711,77.4,91,100,2.06,overcast clouds
Pevek,RU,69.7008,170.3133,38.07,70,75,19.62,broken clouds
Tarragona,ES,41.129,1.249,69.64,67,0,3.44,clear sky
Clyde River,CA,70.4692,-68.5914,28.63,80,75,8.05,broken clouds
Naze,JP,28.3667,129.4833,70.72,75,80,7.94,broken clouds
Mizdah,LY,31.4451,12.9801,80.49,20,1,3.6,clear sky
Tiznit,MA,29.5833,-9.5,59.23,79,64,9.08,broken clouds
Macusani,PE,-14.0833,-70.4333,49.23,53,65,5.35,broken clouds
Camacha,PT,33.0833,-16.3333,63.82,63,40,6.91,scattered clouds
Havelock,US,34.8791,-76.9013,71.98,74,100,12.66,overcast clouds
Tooele,US,40.5308,-112.2983,81.28,52,75,13.8,broken clouds
Roald,NO,62.5833,6.1333,50.9,71,40,31.07,scattered clouds
Sabha,LY,27.0377,14.4283,87.35,8,96,12.46,overcast clouds
Nitra,SK,48.3076,18.0845,57.34,90,5,7.54,clear sky
Quzhou,CN,28.9594,118.8686,58.12,96,76,2.75,broken clouds
Fairbanks,US,64.8378,-147.7164,65.61,42,75,3.44,broken clouds
Alice Springs,AU,-23.7,133.8833,40.55,70,0,3.8,clear sky
Clyde,US,41.3042,-82.9752,68.18,61,15,20.85,few clouds
Troitsko-Pechorsk,RU,62.7084,56.1964,61.56,57,95,4.12,overcast clouds
Broome,US,42.2506,-75.833,62.8,76,100,8.01,overcast clouds
Upernavik,GL,72.7868,-56.1549,32.31,65,100,6.64,overcast clouds
Salalah,OM,17.0151,54.0924,86.09,79,75,6.91,light rain
Toora-Khem,RU,52.4675,96.11,33.84,72,96,5.68,overcast clouds
Moratuwa,LK,6.773,79.8816,78.82,80,13,4.97,few clouds
Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,41.59,75,75,6.71,broken clouds
Huangmei,CN,30.1924,116.025,63.1,94,100,1.86,overcast clouds
Xining,CN,36.6167,101.7667,47.59,68,100,4.41,overcast clouds
Alofi,NU,-19.0595,-169.9187,75.09,83,94,5.75,overcast clouds
Popondetta,PG,-8.7537,148.2534,73.17,98,100,2.08,light rain
Malumfashi,NG,11.7853,7.6218,80.94,57,100,11.56,overcast clouds
Chupa,RU,66.27,33.0549,59.7,63,100,6.15,overcast clouds
Yinchuan,CN,38.4681,106.2731,63.23,30,98,10.11,overcast clouds
Firovo,RU,57.4814,33.7021,53.87,98,100,3.06,overcast clouds
Ta Khmau,KH,11.4833,104.95,80.65,94,40,3.44,scattered clouds
Haines Junction,CA,60.7522,-137.5108,57.15,44,100,5.75,overcast clouds
Kanniyakumari,IN,8.0833,77.5667,83.44,78,5,14.92,clear sky
